id_da rua,Id_ponto,metragem,sistema metrico,logradouro,numero,numero original,data inicial,data_final,fonte,autor_da_alimentacao,Data
78,78-42,42,s,Rua Araujo,42,42,15/05/1936,,"Livro de Emplacamento, n.21, p.122",Cintia,8/10/2018
78,78-42,42,n,Rua Araujo,55,55,19/09/1908,14/05/1936,"Livro de Emplacamento, n.21, p.122; Livro de Emplacamento, n.17, p.67; Livro de Emplacamento, n.1, p.2",Cintia,8/10/2018
78,78-42,42,n,Rua Araujo,61,61,18/09/1908,18/09/1908,"Livro de Emplacamento, n.1, p.2",Cintia,8/10/2018
78,78-276,276,s,Rua Araujo,276,276,15/05/1936,,"Livro de Emplacamento, n.21, p.122",Cintia,8/10/2018
78,78-276,276,n,Rua Araujo,21,21,08/08/1930,14/05/1936,"Livro de Emplacamento, n.21, p.122; Livro de Emplacamento, n.17, p.67; Livro de Emplacamento, n.1, p.2",Cintia,8/10/2018
78,78-276,276,n,Rua Araujo,19,19,19/09/1908,07/08/1930,"Livro de Emplacamento, n.21, p.122; Livro de Emplacamento, n.17, p.67; Livro de Emplacamento, n.1, p.2",Cintia,8/10/2018
78,78-392,392,s,Rua Araujo,392,392,15/05/1936,,"Livro de Emplacamento, n.21, p.122",Cintia,8/10/2018
78,78-392,392,n,Rua Araujo,1,1,19/09/1908,14/05/1936,"Livro de Emplacamento, n.21, p.122; Livro de Emplacamento, n.17, p.67; Livro de Emplacamento, n.1, p.2",Cintia,8/10/2018
78,78-73,73,s,Rua Araujo,73,73,15/05/1936,,"Livro de Emplacamento, n.21, p.121",Cintia,8/10/2018
78,78-73,73,n,Rua Araujo,42,42,08/08/1930,14/05/1936,"Livro de Emplacamento, n.21, p.121; Livro de Emplacamento, n.17, p.67; Livro de Emplacamento, n.1, p.2",Cintia,8/10/2018
78,78-73,73,n,Rua Araujo,44,44,19/09/1908,08/08/1930,"Livro de Emplacamento, n.21, p.121; Livro de Emplacamento, n.17, p.67; Livro de Emplacamento, n.1, p.2",Cintia,8/10/2018
78,78-73,73,n,Rua Araujo,60,60,18/09/1908,18/09/1908,"Livro de Emplacamento, n.21, p.121; Livro de Emplacamento, n.17, p.67; Livro de Emplacamento, n.1, p.2",Cintia,8/10/2018
78,78-281,281,s,Rua Araujo,281,281,15/05/1936,,"Livro de Emplacamento, n.21, p.121",Cintia,8/10/2018
78,78-281,281,n,Rua Araujo,10,10,19/09/1908,14/05/1936,"Livro de Emplacamento, n.21, p.122; Livro de Emplacamento, n.17, p.67; Livro de Emplacamento, n.1, p.2",Cintia,8/10/2018
