,id_street,number,original_n,source,author,date,cord,first_day,first_month,first_year,last_day,last_month,last_year
0,78,42.0,42,"Livro de Emplacamento, n.21, p.122",Cintia,8/10/2018,(-46.64393556345 -23.5436200423454),15.0,5.0,1936.0,,,
1,78,55.0,55,"Livro de Emplacamento, n.21, p.122; Livro de Emplacamento, n.17, p.67; Livro de Emplacamento, n.1, p.2",Cintia,8/10/2018,(-46.64393556345 -23.5436200423454),19.0,9.0,1908.0,15.0,5.0,1935.0
2,78,61.0,61,"Livro de Emplacamento, n.1, p.2",Cintia,8/10/2018,(-46.64393556345 -23.5436200423454),18.0,9.0,1908.0,15.0,5.0,1935.0
3,78,276.0,276,"Livro de Emplacamento, n.21, p.122",Cintia,8/10/2018,(-46.6447205644229 -23.545559147403),15.0,5.0,1936.0,,,
4,78,21.0,21,"Livro de Emplacamento, n.21, p.122; Livro de Emplacamento, n.17, p.67; Livro de Emplacamento, n.1, p.2",Cintia,8/10/2018,(-46.6447205644229 -23.545559147403),8.0,8.0,1930.0,15.0,5.0,1935.0
5,78,19.0,19,"Livro de Emplacamento, n.21, p.122; Livro de Emplacamento, n.17, p.67; Livro de Emplacamento, n.1, p.2",Cintia,8/10/2018,(-46.6447205644229 -23.545559147403),19.0,9.0,1908.0,15.0,5.0,1935.0
6,78,392.0,392,"Livro de Emplacamento, n.21, p.122",Cintia,8/10/2018,(-46.6450083489445 -23.546564242829),15.0,5.0,1936.0,,,
7,78,1.0,1,"Livro de Emplacamento, n.21, p.122; Livro de Emplacamento, n.17, p.67; Livro de Emplacamento, n.1, p.2",Cintia,8/10/2018,(-46.6450083489445 -23.546564242829),19.0,9.0,1908.0,15.0,5.0,1935.0
8,78,73.0,73,"Livro de Emplacamento, n.21, p.121",Cintia,8/10/2018,(-46.6441550132514 -23.5438255682239),15.0,5.0,1936.0,,,
9,78,42.0,42,"Livro de Emplacamento, n.21, p.121; Livro de Emplacamento, n.17, p.67; Livro de Emplacamento, n.1, p.2",Cintia,8/10/2018,(-46.6441550132514 -23.5438255682239),8.0,8.0,1930.0,15.0,5.0,1935.0
